Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
38,大通退,1994/8/8,10,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",2,公用事业,K99,其他社会服务业,L72,商务服务业,1994/2/2,广东省,440000,深圳市,440300,私营企业,P0306,1994/8/8,CNY,2.68,3.68,CNY,12000,CNY,1993/12/10,1,2,D,,2023/7/12,,4
39,中集集团,1994/4/8,10,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",5,工业,C69,金属制品业,C33,金属制品业,1992/9/30,广东省,440000,深圳市,440300,中外合资,P0303,1994/4/8,CNY,7.5,8.5,CNY,12000,CNY,1994/2/1,1,2,A,,2023/4/27,2039,4
40,东旭蓝天,1994/8/8,10,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,1994/6/15,广东省,440000,深圳市,440300,私营企业,P0306,1994/8/8,CNY,5,6,CNY,22000,CNY,1994/2/18,1,2,A,,2023/4/27,,4
42,中洲控股,1994/9/21,10,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holding Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1994/9/13,广东省,440000,深圳市,440300,国营或国有控股,P0301,1994/9/21,CNY,9.8,10.8,CNY,16300,CNY,1994/5/26,1,2,A,,2023/4/27,,4
43,中航善达,1994/9/28,10,招商局积余产业运营服务股份有限公司,"China Merchants Property Operation & Service Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1994/9/8,广东省,440000,深圳市,440300,国营或国有控股,P0301,1994/9/28,CNY,4.5,5.5,CNY,20280,CNY,1994/6/6,1,2,D,,2019/12/13,,4
45,深纺织A,1994/8/15,10,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,1994/8/6,广东省,440000,深圳市,440300,国营或国有控股,P0301,1994/8/15,CNY,2.9,3.9,CNY,16800,CNY,1994/5/28,1,2,A,200045,2023/4/27,,4
46,*ST 泛海,1994/9/12,10,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",1,金融,I99,其他金融业,J69,其他金融业,1989/1/4,北京市,110000,北京市,110000,私营企业,P0306,1994/9/12,CNY,5.3,6.3,CNY,13000,CNY,1994/5/31,1,2,A,,2023/5/5,,4
47,ST 中侨,1994/10/21,10,深圳市中侨发展股份有限公司,"Shenzhen Overglobe Development Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1994/9/28,广东省,440000,深圳市,440300,私营企业,P0306,1994/10/21,CNY,3.05,4.05,CNY,16000,CNY,1994/6/20,1,2,D,,2003/5/30,,4
48,京基智农,1994/11/1,10,深圳市京基智农时代股份有限公司,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",5,工业,C01,食品加工业,C13,农副食品加工业,1994/9/17,广东省,440000,深圳市,440300,私营企业,P0306,1994/11/1,CNY,3.8,4.8,CNY,21800,CNY,1994/6/23,1,2,A,,2023/4/27,,4
49,德赛电池,1995/3/20,10,深圳市德赛电池科技股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,1995/2/18,广东省,440000,深圳市,440300,国营或国有控股,P0301,1995/3/20,CNY,3.95,4.95,CNY,14000,CNY,1995/1/10,1,2,A,,2023/4/27,,4
